study_id,effect_id,author,year,yi,sei,n_ai,n_control,role,role_multi,domain,generation,subject,duration,pedagogy,design,reverse,flag,outcome_zh,country,sample,edu_level,age_group,mean_age_sd,pct_female,n_total,chatbot,control
24,4,de Araujo et al.,2025,0.6659,0.2770964438708447,28,27,CP_FP,multiple,collaborative,Pre-GAI,Natural Sciences,≤1 month,CL,Quasi,否,keep,对话产出-回应(Goal4),Netherlands,140 students (dyads),Secondary school (Gr 9),Adolescents,—,50.9% (56F/54M),140 enrolled; 110 (55 dyads),Clair,Without Clair
24,5,de Araujo et al.,2025,-0.0351,0.1907380402541663,56,54,CP_FP,multiple,cognitive,Pre-GAI,Natural Sciences,≤1 month,CL,Quasi,否,keep,知识获取(后测),Netherlands,140 students (dyads),Secondary school (Gr 9),Adolescents,—,50.9% (56F/54M),140 enrolled; 110 (55 dyads),Clair,Without Clair
25,1,An et al.,2025,1.3053,0.6965561029091627,5,5,CP,single,cognitive,Post-GAI,Education,>1-3 months,CL,Quasi (组级U检验),否,keep,教学产品设计(ID任务)表现,China,30 student teachers (10 groups of 3),Undergraduate (student teachers),Adults,—,56.7%,30 (13M/17F),ERNIE Bot,Conventional mind mapping
25,2,An et al.,2025,1.1718,0.6845843717176138,5,5,CP,single,cognitive,Post-GAI,Education,>1-3 months,CL,Quasi (组级U检验),否,keep,多媒体课件(MD任务)表现,China,30 student teachers (10 groups of 3),Undergraduate (student teachers),Adults,—,56.7%,30 (13M/17F),ERNIE Bot,Conventional mind mapping
28,1,Chen,2024,1.1093,0.277346751828825,30,30,CP,single,cognitive,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi (ANCOVA),否,keep,学习表现,China,60 EFL sophomores,Undergraduate (sophomore),Adults,20–23 (range),71.7%,60 (17M/43F),Replika,Conventional CNT (cCNT)
28,2,Chen,2024,0.9561,0.2725516344046877,30,30,CP,single,cognitive,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi (ANCOVA),否,keep,学习成就,China,60 EFL sophomores,Undergraduate (sophomore),Adults,20–23 (range),71.7%,60 (17M/43F),Replika,Conventional CNT (cCNT)
28,3,Chen,2024,1.0789,0.2763455748695823,30,30,CP,single,affective,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi (ANCOVA),否,keep,自我效能,China,60 EFL sophomores,Undergraduate (sophomore),Adults,20–23 (range),71.7%,60 (17M/43F),Replika,Conventional CNT (cCNT)
28,4,Chen,2024,0.8293,0.2690684313515801,30,30,CP,single,higher_order,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi (ANCOVA),否,keep,元认知意识,China,60 EFL sophomores,Undergraduate (sophomore),Adults,20–23 (range),71.7%,60 (17M/43F),Replika,Conventional CNT (cCNT)
28,5,Chen,2024,0.8615,0.2699102049756548,30,30,CP,single,affective,Post-GAI,Arts and Humanities,>1-3 months,CL,Quasi (ANCOVA),是,keep,学习焦虑(越低越好),China,60 EFL sophomores,Undergraduate (sophomore),Adults,20–23 (range),71.7%,60 (17M/43F),Replika,Conventional CNT (cCNT)
29,1,Cui et al.,2025,0.909,0.2123229873663878,88,33,CP,single,higher_order,Post-GAI,Education,>1-3 months,CL,Quasi (四组ANOVA),否,keep,论证要素-数据(数量),China,121 students (4 groups),Postgraduate (1st yr),Adults,23,91.7%,121 (33/33/27/28),ChatGPT,Non-customized GCA
29,2,Cui et al.,2025,0.605,0.2077959736536456,88,33,CP,single,higher_order,Post-GAI,Education,>1-3 months,CL,Quasi (四组ANOVA),否,keep,论证要素-数据(复杂度),China,121 students (4 groups),Postgraduate (1st yr),Adults,23,91.7%,121 (33/33/27/28),ChatGPT,Non-customized GCA
29,3,Cui et al.,2025,0.3667,0.2054807125666898,88,33,CP,single,higher_order,Post-GAI,Education,>1-3 months,CL,Quasi (四组ANOVA),否,keep,论证要素-warrant(复杂度),China,121 students (4 groups),Postgraduate (1st yr),Adults,23,91.7%,121 (33/33/27/28),ChatGPT,Non-customized GCA
31,1,Huang et al.,2025,1.0184,0.2680813720665089,33,30,RP_FP,multiple,collaborative,Post-GAI,Education,>3 months,CL,RCT (ANCOVA),否,keep,行为参与,China,63 graduate students (33/30),Graduate,Adults,24.2 (SD 0.8),54.0%,63 (33/30),ChatMIM (ChatGPT),Traditional mobile instant messaging
31,2,Huang et al.,2025,1.11,0.2709519054462156,33,30,RP_FP,multiple,collaborative,Post-GAI,Education,>3 months,CL,RCT (ANCOVA),否,keep,认知参与,China,63 graduate students (33/30),Graduate,Adults,24.2 (SD 0.8),54.0%,63 (33/30),ChatMIM (ChatGPT),Traditional mobile instant messaging
31,3,Huang et al.,2025,1.2013,0.2740250178038408,33,30,RP_FP,multiple,affective,Post-GAI,Education,>3 months,CL,RCT (ANCOVA),否,keep,情感参与,China,63 graduate students (33/30),Graduate,Adults,24.2 (SD 0.8),54.0%,63 (33/30),ChatMIM (ChatGPT),Traditional mobile instant messaging
31,4,Huang et al.,2025,0.5761,0.2574304194507436,33,30,RP_FP,multiple,collaborative,Post-GAI,Education,>3 months,CL,RCT (ANCOVA),否,keep,行为参与(消息数),China,63 graduate students (33/30),Graduate,Adults,24.2 (SD 0.8),54.0%,63 (33/30),ChatMIM (ChatGPT),Traditional mobile instant messaging
33,1,Ji et al.,2025,1.8544,0.4025503900233317,21,15,CP,single,cognitive,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),否,keep,学习表现(总分),China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
33,2,Ji et al.,2025,1.8104,0.3997589480023386,21,15,CP,single,higher_order,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),否,keep,学习表现-novelty,China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
33,3,Ji et al.,2025,1.9373,0.4079369286518891,21,15,CP,single,higher_order,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),否,keep,学习表现-fluency,China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
33,4,Ji et al.,2025,0.6247,0.3459853384532401,21,15,CP,single,higher_order,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),否,keep,学习表现-originality,China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
33,5,Ji et al.,2025,2.4761,0.4465864766103758,21,15,CP,single,affective,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),否,keep,AI意识(总分),China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
33,6,Ji et al.,2025,2.1839,0.424885452513894,21,15,CP,single,affective,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),否,keep,AI意识-感知舒适,China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
33,7,Ji et al.,2025,1.6081,0.3875592613927188,21,15,CP,single,affective,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),否,keep,AI意识-态度,China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
33,8,Ji et al.,2025,-1.1192,0.3628816012254361,21,15,CP,single,higher_order,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),否,keep,批判性思维(总分),China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
33,9,Ji et al.,2025,1.9773,0.4105938571577932,21,15,CP,single,load,Post-GAI,Education,>1-3 months,CL,Quasi (t/U检验),是,keep,认知负荷(越低越好),China,"36 students (CCL 21, NCCL 15)",Undergraduate (sophomore),Adults,19.97,69.4%,36 (21/15),ChatGPT,Non-ChatGPT collaborative (NCCL)
